merchant_id,merchant_name,signup_date,transaction_id,transaction_date,transaction_type,fd_flag,rto_flag,transaction_status,delivered_flag,not_delivered_flag,number_of_parcels,delivered_parcels,not_delivered_parcels,size,shippment_amount,credit_order_flag,cash_order_flag,dispatching_hub,destination_city,dest_alex_flag,dest_cairo_flag,dest_tanta_flag,dest_banha_flag,dest_mansoura_flag,fd_rev,rto_rev,large_rev,xlarge_rev,cairo_rev,other_cities_rev,cash_collection_rev,shippment_rev,transaction_month,signup_month,total_rev,1st_order_date,1st_order_month
dd1b5a19-115c-4675-85b4-3febb4fa3805,Borja Hoyos,2019-04-26 00:00:00.000,1,2019-04-26 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,75.0,0,1,Cairo,Alexandria,1,0,0,0,0,45.0,0.0,0.0,0.0,0.0,7.5,4.0,75.0,Apr 2019,Apr 2019,131.5,2019-04-26 00:00:00.000,Apr 2019
dba62bef-0d6f-46b2-8934-4b028613fa8d,Emin Sotnikov,2019-04-29 00:00:00.000,2,2019-04-29 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,500.0,0,1,Cairo,Alexandria,1,0,0,0,0,40.0,0.0,0.0,0.0,0.0,7.5,3.0,500.0,Apr 2019,Apr 2019,550.5,2019-04-29 00:00:00.000,Apr 2019
f57fc965-ed73-42f8-81a6-c991369c998e,Raquel França,2019-04-30 00:00:00.000,3,2019-04-30 00:00:00.000,FD,1,0,Delivered,1,0,2,2,0,Normal,75.0,0,1,Cairo,Alexandria,1,0,0,0,0,110.0,0.0,0.0,0.0,0.0,20.0,16.0,75.0,Apr 2019,Apr 2019,221.0,2019-04-30 00:00:00.000,Apr 2019
8353660b-91ad-4441-8487-0b4b10151e74,Angela Stamatakis,2019-04-23 00:00:00.000,4,2019-04-30 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,95.0,0,1,Cairo,Cairo,0,1,0,0,0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,95.0,Apr 2019,Apr 2019,138.0,2019-04-30 00:00:00.000,Apr 2019
9e309753-981a-448c-a770-f48a3588d515,Matsuno Matsui,2019-04-24 00:00:00.000,5,2019-05-01 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,200.0,0,1,Cairo,Tanta,0,0,1,0,0,55.0,0.0,0.0,0.0,0.0,10.0,8.0,200.0,Apr 2019,Apr 2019,273.0,2019-05-01 00:00:00.000,Apr 2019
3e35b472-609b-479e-aa39-6edbbf1d86aa,Zampeta Paraskeva,2019-04-25 00:00:00.000,6,2019-05-02 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,75.0,0,1,Cairo,Cairo,0,1,0,0,0,45.0,0.0,0.0,0.0,0.0,0.0,4.0,75.0,May 2019,Apr 2019,124.0,2019-05-02 00:00:00.000,May 2019
dba62bef-0d6f-46b2-8934-4b028613fa8d,Emin Sotnikov,2019-04-29 00:00:00.000,7,2019-05-02 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,100.0,0,1,Alexandria,Alexandria,1,0,0,0,0,40.0,0.0,0.0,0.0,0.0,7.5,3.0,100.0,May 2019,Apr 2019,150.5,2019-04-29 00:00:00.000,Apr 2019
892ee288-d291-4aff-a48f-5ffe8149b9be,Sadayoshi Tsuruoka,2019-04-29 00:00:00.000,8,2019-05-06 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Normal,250.0,0,1,Alexandria,Banha,0,0,0,1,0,60.0,0.0,0.0,0.0,0.0,12.5,8.0,250.0,May 2019,Apr 2019,330.5,2019-05-06 00:00:00.000,May 2019
f57fc965-ed73-42f8-81a6-c991369c998e,Raquel França,2019-04-30 00:00:00.000,9,2019-05-06 00:00:00.000,FD,1,0,Delivered,1,0,1,1,0,Large,200.0,0,1,Alexandria,Mansoura,0,0,0,0,1,55.0,0.0,15.0,0.0,0.0,10.0,8.0,200.0,May 2019,Apr 2019,288.0,2019-04-30 00:00:00.000,Apr 2019
52052991-bb17-4649-82db-2a1bb22d94a3,André Fiebig,2019-04-30 00:00:00.000,10,2019-05-07 00:00:00.000,FD,1,0,Delivered,1,0,3,3,0,Large,75.0,0,1,Mansoura,Banha,0,0,0,1,0,150.0,0.0,45.0,0.0,0.0,30.0,12.0,75.0,May 2019,Apr 2019,312.0,2019-05-07 00:00:00.000,May 2019
